#,Name,Address,Atoll,Island,District,Rooms,Beds
329,Ithaa Inn Kamadhoo,"Ithaa, Feeroaz Magu",Baa,Kamadhoo,,4,8
330,Ithaa Thoddoo Inn,Keeli,Alifu Alifu,Thoddoo,,6,12
331,Ivilaa View,Vinavi,Faafu,Nilandhoo,,8,16
332,Jail Break Surf Inn,Akiri,Kaafu,Himmafushi,,4,8
333,Jerrys Dive Lodge,Hudhuasurumaage,Alifu Alifu,Rasdhoo,,5,10
334,Jeym Lodge,Blue Berry Moonlight Goalhi,Alifu Alifu,Thoddoo,,14,28
335,Jupiter Sunrise Lodge,Jupitor,Vaavu,Keyodhoo,,4,8
336,K Inn,Fair view,Kaafu,Kaashidhoo,,8,16
337,Kaafu Inn,Hudhufas,Kaafu,Guraidhoo,,4,8
338,Kaani Beach,Raiyvilaage,Kaafu,Maafushi,,18,36
339,Kaani Grand Seaview,Vaijeheyge,Kaafu,Maafushi,,56,130
340,Kaani Lodge,H. Ocean Villa,Kaafu,Male',Henveiru,12,24
341,Kaani Palm Beach,"Relic, Ziyaaraiy Magu",Kaafu,Maafushi,,105,210
342,Kaani Village,Athamaa ge,Kaafu,Maafushi,,20,40
343,Kahanbu Ocean View,"1. Ihaa & 2. Aligaa Hulhangubai, Neruvelimagu",Kaafu,Thulusdhoo,,3,6
344,Kalhumuraka Guest House,Veli,Vaavu,Keyodhoo,,4,8
345,Kam,H Roanuge Meheli Goalhi,Kaafu,Male',Henveiru,27,54
346,Kamadhoo Inn,"Moon Light, Roashanee Magu",Baa,Kamadhoo,,16,32
347,Kanbili G.H,Destination,Kaafu,Himmafushi,,8,16
348,Kanborani,Huraaveli,Kaafu,Huraa,,12,24
349,Kandoofa Village,Forest,Meemu,Mulah,,6,12
350,Karaa Village,Vaadhee,Alifu Alifu,Thoddoo,,4,8
351,Karanka Villas,Karankaage,Alifu Dhaalu,Mahibadhoo,,5,10
352,Kethi Stay,Kethi,,,,4,8
353,Keyla Inn,Secret,Kaafu,Thulusdhoo,,8,16
354,Kiha Beach,"Haveli
Shagefee House",Baa,Dharavandhoo,,10,20
355,Kihaa Holiday Home,"Sea Star, Maafarivaa Hingun, B. Kihaadhoo, Rep. of Maldives",,,,4,8
356,Kinan Retreat,Fenkuri,Vaavu,Fulidhoo,,9,18
357,Kingsway Thoddoo,Hazaarumaage,Alifu Alifu,Thoddoo,,12,24
358,Koamas View,Happy Night,Vaavu,Keyodhoo,,4,8
359,Koimala Beach,fenkuri,Kaafu,Ukulhas,,4,8
360,Kokaa Residence,"Kokaage, Miskiy Magu",Haa Alifu,Kelaa,,3,6
361,Konut by Thakuru,"Rabee-ee Ufaa
Roashanee Magu",Kaafu,Guraidhoo,,5,10
362,Kudhi Boli Beach House,Vaijeheyge,Kaafu,Thulusdhoo,,8,16
363,Kunaa Beach Inn,"Hiyalee Gulshan, Banafsa Higun",Vaavu,Fulidhoo,,6,12
364,Kuredhi Beach Inn,"1. Gahaa & 2. Galaxy, Ziyaarai Magu",Kaafu,Maafushi,,12,24
365,Kuri Beach View Inn,"Theeni,  Lily Magu",Alifu Dhaalu,Omadhoo,,3,6
366,Kuri Himandhoo Inn,Hazeleen,Alifu Alifu,Himandhoo,,3,6
367,Kuri Inn,Kuri,Alifu Dhaalu,Omadhoo,,4,8
368,L.V.I.S Blancura,Haathorn & Zeesham,Baa,Dharavandhoo,,11,22
369,L.V.I.S Village,Finivai,Baa,Dharavandhoo,,6,12
370,La Cabana Maldives,Azum,Alifu Dhaalu,Maamigili,,7,14
371,La Due Thulusdhoo,Samee Manzil,Kaafu,Thulusdhoo,,3,6
372,La Isla Tropica,Lainoofaruge,Kaafu,Guraidhoo,,4,8
373,La Luna Boutique,Bageechaage,Alifu Dhaalu,Dhangethi,,4,8
374,La Palma Villa,Cadburys Jumhooree Magu,Alifu Alifu,Ukulhas,,6,12
375,Lagoon View Maldives,Bodufulhadhoo Guesthouse Sarahadhdhu,Alifu Alifu,Bodufolhudhoo,,9,18
376,Lagoon Villa Thoddoo,Waarey villa,Alifu Alifu,Thoddoo,,9,18
377,Lagoona Sunset,Fenfulhafi,Kaafu,Maafushi,,7,14
378,Laguna Retreat,"Funamaa Palace, Ranikilege Magu",Gaafu Dhaalu,Vaadhoo,,10,20
379,Lea Spa Maafushi,Gulfaam Villa,Kaafu,Maafushi,,16,32
380,Leaf Fish Guesthouse Maldives,Jazeela Manzil,Vaavu,Keyodhoo,,5,10
381,Leaf Fish Guesthouse Maldives,Jazeela Manzil,Vaavu,Keyodhoo,,5,10
382,Leisure Boutique,"Vivid
Furas Magu",Kaafu,Maafushi,,11,22
383,Leisure Inn Guest House,Udhares,Alifu Alifu,Bodufolhudhoo,,7,14
