#,Name,Address,Atoll,Island,District,Rooms,Beds
730,Thoddoo Haisha Inn,"Alanaasige,  Feeroazu Magu",Alifu Alifu,Thoddoo,,6,12
731,Thoddoo Inn,Gulbakaage,Alifu Alifu,Thoddoo,,5,10
732,Thoddoo Island Life,Hasthee,Alifu Alifu,Thoddoo,,5,10
733,Thoddoo Retreat Grand,Fehi Ali,Alifu Alifu,Thoddoo,,6,12
734,Thoddoo Sunny Beach,"Lemon Grass, Shaheedh Ali Hingun",Alifu Alifu,Thoddoo,,6,12
735,Thoddoo Sunsky Inn,Bokarumaage  Feeroaz Magu,Alifu Alifu,Thoddoo,,7,14
736,Thoddoo White Sand Inn,"Rukuma
Ameenee Magu",Alifu Alifu,Thoddoo,,6,12
737,Three Heart Guest House,Fehige,Baa,Fulhadhoo,,14,28
738,Three Inn,Hulhumale' Lot. No. 10805,Kaafu,Male',Hulhumale',20,40
739,Three Star Lodge,"Three Star, Kurangibahaa Magu",Vaavu,Keyodhoo,,5,10
740,Thulusdhoo Garden Villa,Farishthaa,Kaafu,Thulusdhoo,,4,8
741,Thun'dee Inn,Winter Blue,Alifu Alifu,Ukulhas,,4,8
742,Thundi Sea View,Happy Luck,Vaavu,Fulidhoo,,8,16
743,Thundi Village and Spa,Boakoshaage & Gulalaage,Baa,Maalhos,,18,36
744,Tides Dhigurah,Auge,Alifu Dhaalu,Dhigurah,,4,8
745,Tiger Shark Residence,Fenfiyaazuge,Gnaviyani,Fuvahmulah,,7,14
746,"TME Retreats , Dhigurah",Shairose Rihiveli,Alifu Dhaalu,Dhigurah,,12,24
747,"TME Retreats Dhigurah,  Noovilu",Noovilu & Elovera,Alifu Dhaalu,Dhigurah,,9,18
748,Tour Inn,Kalmia,Kaafu,Male',Henveiru,6,12
749,Tourist Inn,Ma. Leaves,Kaafu,Male',Machchangolhi,8,16
750,Tourist Inn Baani,Maavahi,Vaavu,Felidhoo,,8,16
751,Tourist Inn Grand,"Ma. Maaraa, Gulaabee Magu",Kaafu,Male',Machchangolhi,8,16
752,Tranquil Nest,Farihiyaa,Vaavu,Rakeedhoo,,13,26
753,Tranquila Maldives,Venus,Alifu Alifu,Rasdhoo,,10,20
754,Treasure Island Lodge,Finihiyaage Dhekunubai,Kaafu,Huraa,,4,8
755,Trip Villa,Baabul Avaali,Alifu Alifu,Ukulhas,,5,10
756,Triton Beach,"White Fish, Ziyaarai Magu",Kaafu,Maafushi,,22,44
757,Triton Prestige,"Gulbakaage, Valu Magu",Kaafu,Maafushi,,48,96
758,Tropic Tree,Asseyri,Kaafu,Gulhi,,11,22
759,Tropica Inn & Guest House,"Fashala, Haveeree Hingun",Raa,Alifushi,,4,8
760,Tropica Thoddoo Inn,"Nooraaneemaage, Carnation Magu",Alifu Alifu,Thoddoo,,6,12
761,Tropical Biosphere,Munich,Baa,Kamadhoo,,7,14
762,Tropical Lodge,"Savaadhee, Ameenee Magu",Haa Dhaalu,Hanimaadhoo,,6,12
763,Tropical Sands Kelaa,Ilaa & Hasthee,Haa Alifu,Kelaa,,8,16
764,True South,Thaaj,Seenu,Maradhoo,,7,14
765,Turquoise Residence,Hulhumale' Lot No. 11054 Nirolhu Magu,Kaafu,Male',Hulhumale',18,36
766,Turtle Maldives,Happy Flower,Alifu Dhaalu,Omadhoo,,6,12
767,Turtle Nest,"Uthuru Avah, Coral Garden, Bodureyni Goalhi",Haa Dhaalu,Finey,,4,8
768,Turtle Retreat,"Haveylee, Ziyaarai Magu",Shaviyani,Goidhoo,,4,8
769,Udhares Inn,"Fashuvi, Moorithi Hingun",Haa Alifu,Dhidhdhoo,,8,16
770,Ufa Escape,"Malas
Adh. Dhigurah",Alifu Dhaalu,Dhigurah,,5,10
771,Ukulhas Beach Inn,Mirihimaage,Alifu Alifu,Ukulhas,,8,16
772,Ukulhas Beach Villa,Recon City,Alifu Alifu,Ukulhas,,3,6
773,Ukulhas View,"Everlast, Vashaa Magu",Kaafu,Ukulhas,,4,8
774,Ukulhas Villa,Nooru Manzil,Alifu Alifu,Ukulhas,,4,8
775,Umet Seaview,Loajehige,Kaafu,Male',Henveiru,11,22
776,Umet Stay,Umet Villa,Gaafu Dhaalu,Thinadhoo,,12,24
777,Unima Grand,"H. Unima Fehi,  Roashanee Magu",Kaafu,Male',Henveiru,39,78
778,Unimaa Cottage,Meyazin,Alifu Alifu,Rasdhoo,,3,6
779,Unwind Dhigurah,"Dhiguveli, Fareedhee Magu",Alifu Dhaalu,Dhigurah,,7,14
780,Vaali Beach Lodge,Manaam,Vaavu,Felidhoo,,8,16
781,vaaruge residence,mina,Gaafu Dhaalu,Hoandehdhoo,,10,20
782,Vacation Home,Blue house,Alifu Alifu,Thoddoo,,3,6
783,Vashafaru Inn,Kausar,Haa Alifu,Vashafaru,,6,12
784,Velaa Garden View,"Raasthaa, Sosun Magu",Noonu,Fodhdhoo,,5,10
785,Velana Beach,"Beach Rest, Miskiy Magu",Kaafu,Maafushi,,10,20
786,Velana Blu,Hudhuakiri,Kaafu,Maafushi,,18,36
787,Veli Beach Inn,Handhuvaru,Alifu Alifu,Mathiveri,,6,12
788,Veli Inn,Janbugasdhoshuge,Haa Alifu,Dhidhdhoo,,3,6
789,Veli Thoddoo Inn,Rasain,Alifu Alifu,Thoddoo,,3,6
790,Veli Vilaa,Handhuvaree Aage,Kaafu,Dhiffushi,,4,8
791,Vengeheli,Binaa,Baa,Kendhoo,,5,10
792,Venus Villa,Venus villa,Vaavu,Keyodhoo,,4,8
793,Vevu Villa Fenfushi,Fithuroanuge,Alifu Dhaalu,Fenfushi,,6,12
794,Veyo Retreat,Aaraasthu,Thaa,Veymandoo,,4,8
795,Veyvah Inn Maldives,Husnuheenaage,Meemu,Veyvah,,3,6
796,Villa Buruni Maldives,"Anaarukaly, Aazaadhee Hingun",Thaa,Buruni,,3,6
797,Villa Kamadhoo,Love Nest,Baa,Kamadhoo,,,5
798,Villa Kudi Maldives,Iyurish,Kaafu,Thulusdhoo,,4,8
799,Villa Rosa,"Sosunge, Sosun Magu",Alifu Alifu,Feridhoo,,5,10
800,Villa Stella,Stella,Dhaalu,Ribidhoo,,3,6
801,Village Hideaway & Spas,"Beach Home
Vaadhee
Finihiyaa",Baa,Fulhadhoo,,11,22
802,Village Life,Raiyfusge,Gaafu Alifu,Maamendhoo,,4,8
803,Village Waves,"Fenkuri, Miskiy Magu",Kaafu,Himmafushi,,8,16
804,Vilu Beach Fulhadhoo,Red Rose,Baa,Fulhadhoo,,3,6
805,Vilu Rest,Hulhumale' Lot. No. 11010,Kaafu,Male',Hulhumale',15,30
806,Vilu Thari Inn Maldives,Vilaadhashuge,Alifu Dhaalu,Mahibadhoo,,7,14
807,Vilu Veli Holiday Retreat,"Kaani, Nika & Funa
Mirihi Magu",Haa Dhaalu,Hanimaadhoo,,16,32
808,Vinca Bloom,"Haikolhu, Boduthakurufaanu Magu, Uthuru Avah",Haa Dhaalu,Makunudhoo,,5,10
809,Vinorva,Block no: 31,Kaafu,Male',Villimale',29,58
810,Vinorva Green,Altivailis,Kaafu,Maafushi,,7,14
811,Vinorva Wave,Unique,Kaafu,Thulusdhoo,,7,14
812,Violet Inn,1. Violet ge 2. Shal Villa  Ameeneemagu,Baa,Dharavandhoo,,8,16
813,Vision Inn,"Vision, Alikatheeb Magu, Gaafu Alifu, Villingili",Gaafu Alifu,Villingili,,4,8
814,Vista Beach Retreat,Hulhumale’ Lot. No 10669,Kaafu,Male',Hulhumale’,12,24
815,Vista Villa,Vinavi,Seenu,Hithadhoo,,9,18
816,VIVA Beach and Spa Maldives,Dhilbahaaruge,Alifu Dhaalu,Hangnaameedhoo,,12,24
817,Water Seven,Parindage,Kaafu,Maafushi,,7,14
818,Wave Sound by 3S Maldives,426/2012/06 Kuleebin,Seenu,Maradhoo Feydhoo,,7,14
819,Wavefront Inn,Hulhumale' Lot. No. 10997,Kaafu,Male',Hulhumale',20,40
820,Waves Inn,"Waves, Yoosufkaleyfaanu Magu",Raa,Maakurathu,,5,10
821,West Sands Ukulhas,Kinaaraa,Alifu Alifu,Ukulhas,,20,40
822,Whale Shark Villa,"Fini Roalhi, Heenaa Magu",Alifu Dhaalu,Fenfushi,,3,6
823,White Beach Holiday,"Hulhumale Lot No. 10124, Dhiggaamagu",Kaafu,Male',Hulhumale’,7,14
824,White Coral Rasdhoo,"Beach Villa, Bodu Magu",Alifu Alifu,Rasdhoo,,10,20
825,White Maakana Seaview,Kalhavathi,Vaavu,Keyodhoo,,8,4
826,White Maakanaa Lodge,Rivil,Vaavu,Keyodhoo,,5,10
827,White Maakanaa Seaview,Kalhavathi,Vaavu,Keyodhoo,,4,8
828,White Sand Dhigurah,"Iris, Kuri and Ithaa",Alifu Dhaalu,Dhigurah,,24,48
829,White Sand Himandhoo,White Sand,Alifu Alifu,Himandhoo,,4,8
830,White Tern Maldives,"Villa
Ameenee Magu",Alifu Dhaalu,Dhidhdhoo,,6,12
831,Whiteshell Island and Spa,Musthareege,Kaafu,Maafushi,,12,24
832,Wind Breeze Sunset View Inn,Westen,Kaafu,Guraidhoo,,3,6
833,Wish Guesthouse,Notilas,Kaafu,Huraa,,13,26
834,Wow Inn Keyodhoo,"Maas, Kyodhoo, Vaavu Atoll, Republic of Maldives",Vaavu,Keyodhoo,,8,16
835,Wow Retreat,Theveli,Vaavu,Felidhoo,,3,6
836,Wunderbar Inn,VethiDhandu Hingun,Meemu,Maduvvari,,4,8
837,Zeestar Inn,Banafsaage,Kaafu,Maafushi,,10,20
838,Zero Degree Residence,"Hoadhadu, Fehiali",Gnaviyani,Fuvahmulah,Hoadhadu,12,24
